,windgust,winddir,windspeed
0,42.352486247521824,110.37087848275857,34.23984317034113
1,45.073617053631935,102.59678915867963,44.51511123723884
2,42.36196814742799,100.66049237879882,34.907257408192976
3,42.53999271454615,103.57538912911865,37.7077050694819
4,38.113465090860316,107.61950934933739,42.204942885348686
5,39.44751278051113,98.63511694183092,41.80445271164239
6,35.891324956451896,144.50048315814485,46.625435944015166
7,45.663927271203214,107.62821271119662,48.364640152976
8,46.33328366340554,108.59644914092462,42.986723414266336
9,40.432012126501284,94.40212119215414,43.479609616935186
10,35.525879891535226,95.13569385660799,37.45031152959183
11,41.076781320120276,101.51840237755968,35.76684329347405
12,38.58314025655879,90.30029717972414,35.10219949923054
13,28.529148023178955,99.99128937618832,35.293617823889704
14,38.1267195226758,133.2746304590011,44.627767683859446
15,34.04306498511669,109.76086337163592,42.676567544046634
16,34.70857046170379,92.37685391835386,37.70290759289359
17,37.41627742605342,149.69100718395578,50.964332252113635
18,34.21966600299561,82.56509628753648,46.096251478399275
19,39.099984713657136,97.70821645008931,54.27228156902483
20,37.63597683963914,97.73309397864072,50.19380200403839
21,34.38131090408921,97.80548783826758,45.79905077739633
22,34.15686042652384,106.7082723935199,48.091471439552286
23,34.19158187972688,105.26069705168297,46.40800815950536
24,30.68595660298059,93.15615696390627,41.17834236830184
25,31.929428127714473,96.49565703267692,42.39518662121505
26,36.80372140704896,127.06656772240983,50.09431383768134
27,35.68507972670636,137.78511001121498,48.633442567975855
28,34.967224048610674,106.67257854820701,44.881216191348386
29,32.97533731451021,84.57024018131538,41.6019427004082
30,36.51223768990699,124.29190577661387,49.5990784574269
31,36.61909743759611,99.34661174297884,47.92851087374647
32,34.24138587504733,84.65289696475315,43.32884594150521
33,32.6581917834622,92.65558788587481,43.08312394848029
34,33.77758443027737,109.22696494544405,44.50231961836032
35,32.31513158784399,110.04485457218743,44.32006506871332
36,32.45023728322691,94.14554809688173,41.58143447920736
37,32.55321577322111,95.94389910671607,43.57025615288569
38,33.418812094387995,78.53485365326495,38.61605373591206
39,35.01146785782615,115.8879546578662,42.44475228584277
40,33.23920468211216,137.32986884668162,44.657395075434735
41,35.60866825599591,95.04702521338885,47.199492675158446
42,37.32483904037168,107.62680407459511,51.17543113414074
43,38.09047085146121,83.92707180160753,52.5393071411296
44,37.68453933819854,107.29089455358849,51.328910736399635
45,35.480005195535895,105.89174109492797,47.30569631752495
46,33.240074488396885,97.90673359400006,44.76770730054061
47,32.09083029217048,91.06641941136255,41.88199539625045
48,33.32560628256375,100.14483076575132,37.42825205821317
49,30.539748234934216,105.70454335227922,39.9011629087915
50,32.70876191629507,91.48508633270706,41.133737730600664
51,34.99172022095492,105.76214652759037,37.25366455017991
52,33.91486716987874,120.38568101799157,43.49192049694071
53,33.537985669421914,98.08082598540992,43.942645404840235
54,34.42925644702805,109.44361828559909,45.488741268980114
55,36.21588659747985,88.80616136736276,49.233607880386884
56,36.93155006031723,116.15167155304619,49.154627935230664
57,37.38228418276317,106.18353010523776,53.08117419206519
58,35.3743793590879,104.16203596519148,46.95637757540362
59,34.35638741412254,96.46079327678989,48.056303160760336
60,29.750151237895196,73.43021621338524,40.65960530004973
